counts  d_counts        d_time  cpm     uSv/h
0000001406      0000000002         5.001          23.995           0.161
0000001409      0000000003         5.001          35.993           0.241
0000001415      0000000006         5.000          72.000           0.482
0000001418      0000000003         5.001          35.993           0.241
0000001424      0000000006         5.001          71.986           0.482
0000001428      0000000004         5.001          47.990           0.322
0000001434      0000000006         5.001          71.986           0.482
0000001442      0000000008         5.000          96.000           0.643
0000001445      0000000003         5.001          35.993           0.241
0000001450      0000000005         5.001          59.988           0.402
0000001454      0000000004         5.001          47.990           0.322
0000001460      0000000006         5.002          71.971           0.482
0000001466      0000000006         5.001          71.986           0.482
0000001470      0000000004         5.001          47.990           0.322
0000001473      0000000003         5.001          35.993           0.241
0000001478      0000000005         5.001          59.988           0.402
0000001484      0000000006         5.000          72.000           0.482
0000001490      0000000006         5.001          71.986           0.482
0000001492      0000000002         5.001          23.995           0.161
0000001500      0000000008         5.001          95.981           0.643
0000001506      0000000006         5.001          71.986           0.482
0000001511      0000000005         5.000          60.000           0.402
0000001513      0000000002         5.001          23.995           0.161
0000001517      0000000004         5.001          47.990           0.322
0000001522      0000000005         5.001          59.988           0.402
0000001524      0000000002         5.001          23.995           0.161
0000001533      0000000009         5.000         108.000           0.724
0000001535      0000000002         5.001          23.995           0.161
0000001538      0000000003         5.001          35.993           0.241
0000001543      0000000005         5.001          59.988           0.402
0000001550      0000000007         5.001          83.983           0.563
0000001552      0000000002         5.000          24.000           0.161
0000001558      0000000006         5.001          71.986           0.482
0000001567      0000000009         5.001         107.978           0.723
0000001570      0000000003         5.001          35.993           0.241
0000001573      0000000003         5.002          35.986           0.241
0000001581      0000000008         5.001          95.981           0.643
0000001586      0000000005         5.001          59.988           0.402
0000001588      0000000002         5.001          23.995           0.161
0000001591      0000000003         5.001          35.993           0.241
0000001593      0000000002         5.000          24.000           0.161
0000001597      0000000004         5.001          47.990           0.322
0000001601      0000000004         5.003          47.971           0.321
0000001602      0000000001         5.001          11.998           0.080
0000001605      0000000003         5.001          35.993           0.241
0000001607      0000000002         5.000          24.000           0.161
0000001610      0000000003         5.001          35.993           0.241
0000001614      0000000004         5.001          47.990           0.322
0000001619      0000000005         5.001          59.988           0.402
0000001622      0000000003         5.001          35.993           0.241
0000001628      0000000006         5.000          72.000           0.482
0000001629      0000000001         5.001          11.998           0.080
0000001635      0000000006         5.011          71.842           0.481
0000001638      0000000003         5.000          36.000           0.241
0000001646      0000000008         5.001          95.981           0.643
0000001652      0000000006         5.001          71.986           0.482
0000001654      0000000002         5.001          23.995           0.161
0000001658      0000000004         5.001          47.990           0.322
0000001663      0000000005         5.000          60.000           0.402
0000001668      0000000005         5.001          59.988           0.402
0000001672      0000000004         5.001          47.990           0.322
0000001679      0000000007         5.001          83.983           0.563
0000001683      0000000004         5.001          47.990           0.322
0000001687      0000000004         5.000          48.000           0.322
0000001694      0000000007         5.001          83.983           0.563
0000001698      0000000004         5.001          47.990           0.322
0000001702      0000000004         5.001          47.990           0.322
0000001707      0000000005         5.001          59.988           0.402
0000001709      0000000002         5.000          24.000           0.161
0000001714      0000000005         5.001          59.988           0.402
0000001723      0000000009         5.001         107.978           0.723
0000001726      0000000003         5.001          35.993           0.241
0000001727      0000000001         5.001          11.998           0.080
0000001731      0000000004         5.000          48.000           0.322
0000001738      0000000007         5.001          83.983           0.563
0000001741      0000000003         5.001          35.993           0.241
0000001746      0000000005         5.001          59.988           0.402
0000001747      0000000001         5.001          11.998           0.080
0000001752      0000000005         5.000          60.000           0.402
0000001758      0000000006         5.001          71.986           0.482
0000001769      0000000011         5.001         131.974           0.884
0000001773      0000000004         5.001          47.990           0.322
0000001780      0000000007         5.002          83.966           0.563
0000001784      0000000004         5.001          47.990           0.322
0000001790      0000000006         5.001          71.986           0.482
0000001794      0000000004         5.001          47.990           0.322
0000001797      0000000003         5.001          35.993           0.241
0000001797      0000000000         5.000           0.000           0.000
0000001800      0000000003         5.001          35.993           0.241
0000001805      0000000005         5.001          59.988           0.402
0000001810      0000000005         5.001          59.988           0.402
0000001817      0000000007         5.001          83.983           0.563
0000001820      0000000003         5.000          36.000           0.241
0000001827      0000000007         5.001          83.983           0.563
0000001832      0000000005         5.001          59.988           0.402
0000001837      0000000005         5.001          59.988           0.402
0000001842      0000000005         5.001          59.988           0.402
0000001849      0000000007         5.000          84.000           0.563
0000001853      0000000004         5.001          47.990           0.322
0000001859      0000000006         5.001          71.986           0.482
0000001864      0000000005         5.001          59.988           0.402
0000001869      0000000005         5.001          59.988           0.402
0000001874      0000000005         5.000          60.000           0.402
0000001876      0000000002         5.001          23.995           0.161
0000001880      0000000004         5.001          47.990           0.322
0000001886      0000000006         5.001          71.986           0.482
0000001891      0000000005         5.002          59.976           0.402
0000001894      0000000003         5.001          35.993           0.241
0000001901      0000000007         5.001          83.983           0.563
0000001909      0000000008         5.001          95.981           0.643
0000001912      0000000003         5.001          35.993           0.241
0000001915      0000000003         5.000          36.000           0.241
0000001916      0000000001         5.001          11.998           0.080
0000001920      0000000004         5.001          47.990           0.322
0000001926      0000000006         5.001          71.986           0.482
0000001932      0000000006         5.001          71.986           0.482
0000001942      0000000010         5.010         119.760           0.802
0000001948      0000000006         5.001          71.986           0.482
0000001951      0000000003         5.001          35.993           0.241
0000001955      0000000004         5.001          47.990           0.322
0000001959      0000000004         5.000          48.000           0.322
0000001961      0000000002         5.001          23.995           0.161
0000001965      0000000004         5.001          47.990           0.322
0000001974      0000000009         5.001         107.978           0.723
0000001976      0000000002         5.002          23.990           0.161
0000001978      0000000002         5.001          23.995           0.161
0000001982      0000000004         5.001          47.990           0.322
0000001986      0000000004         5.001          47.990           0.322
0000001990      0000000004         5.001          47.990           0.322
0000001994      0000000004         5.000          48.000           0.322
0000001999      0000000005         5.001          59.988           0.402
0000002001      0000000002         5.001          23.995           0.161
0000002002      0000000001         5.001          11.998           0.080
0000002008      0000000006         5.001          71.986           0.482
0000002014      0000000006         5.000          72.000           0.482
0000002018      0000000004         5.001          47.990           0.322
0000002022      0000000004         5.001          47.990           0.322
0000002028      0000000006         5.001          71.986           0.482
0000002035      0000000007         5.001          83.983           0.563
0000002038      0000000003         5.000          36.000           0.241
0000002043      0000000005         5.001          59.988           0.402
0000002045      0000000002         5.001          23.995           0.161
0000002051      0000000006         5.001          71.986           0.482
0000002056      0000000005         5.001          59.988           0.402
0000002061      0000000005         5.000          60.000           0.402
0000002068      0000000007         5.001          83.983           0.563
0000002072      0000000004         5.001          47.990           0.322
0000002081      0000000009         5.001         107.978           0.723
0000002091      0000000010         5.001         119.976           0.804
0000002092      0000000001         5.000          12.000           0.080
0000002100      0000000008         5.001          95.981           0.643
0000002107      0000000007         5.001          83.983           0.563
0000002110      0000000003         5.001          35.993           0.241
0000002115      0000000005         5.002          59.976           0.402
0000002118      0000000003         5.001          35.993           0.241
0000002119      0000000001         5.001          11.998           0.080
0000002125      0000000006         5.001          71.986           0.482
0000002127      0000000002         5.001          23.995           0.161
0000002128      0000000001         5.000          12.000           0.080
0000002132      0000000004         5.001          47.990           0.322
0000002135      0000000003         5.001          35.993           0.241
0000002142      0000000007         5.001          83.983           0.563
0000002148      0000000006         5.001          71.986           0.482
0000002155      0000000007         5.000          84.000           0.563
0000002157      0000000002         5.001          23.995           0.161
0000002161      0000000004         5.001          47.990           0.322
0000002164      0000000003         5.001          35.993           0.241
0000002165      0000000001         5.001          11.998           0.080
0000002169      0000000004         5.000          48.000           0.322
0000002171      0000000002         5.001          23.995           0.161
0000002176      0000000005         5.001          59.988           0.402
0000002178      0000000002         5.001          23.995           0.161
0000002180      0000000002         5.001          23.995           0.161
0000002183      0000000003         5.000          36.000           0.241
0000002193      0000000010         5.001         119.976           0.804
0000002198      0000000005         5.001          59.988           0.402
0000002205      0000000007         5.001          83.983           0.563
0000002212      0000000007         5.002          83.966           0.563
0000002214      0000000002         5.001          23.995           0.161
0000002220      0000000006         5.001          71.986           0.482
0000002227      0000000007         5.001          83.983           0.563
0000002228      0000000001         5.001          11.998           0.080
0000002234      0000000006         5.000          72.000           0.482
0000002236      0000000002         5.001          23.995           0.161
0000002240      0000000004         5.001          47.990           0.322
0000002243      0000000003         5.001          35.993           0.241
0000002248      0000000005         5.001          59.988           0.402
0000002250      0000000002         5.000          24.000           0.161
0000002253      0000000003         5.001          35.993           0.241
0000002255      0000000002         5.001          23.995           0.161
0000002259      0000000004         5.001          47.990           0.322
0000002265      0000000006         5.001          71.986           0.482
0000002268      0000000003         5.000          36.000           0.241
0000002272      0000000004         5.001          47.990           0.322
0000002274      0000000002         5.001          23.995           0.161
0000002277      0000000003         5.001          35.993           0.241
0000002280      0000000003         5.001          35.993           0.241
0000002288      0000000008         5.000          96.000           0.643
0000002291      0000000003         5.001          35.993           0.241
0000002298      0000000007         5.001          83.983           0.563
0000002303      0000000005         5.001          59.988           0.402
0000002307      0000000004         5.002          47.981           0.321
0000002313      0000000006         5.001          71.986           0.482
0000002315      0000000002         5.001          23.995           0.161
0000002323      0000000008         5.001          95.981           0.643
0000002326      0000000003         5.001          35.993           0.241
0000002328      0000000002         5.000          24.000           0.161
0000002332      0000000004         5.011          47.895           0.321
0000002338      0000000006         5.001          71.986           0.482
0000002340      0000000002         5.001          23.995           0.161
0000002343      0000000003         5.000          36.000           0.241
0000002348      0000000005         5.001          59.988           0.402
0000002351      0000000003         5.001          35.993           0.241
0000002356      0000000005         5.001          59.988           0.402
0000002361      0000000005         5.001          59.988           0.402
0000002371      0000000010         5.000         120.000           0.804
0000002372      0000000001         5.001          11.998           0.080
0000002378      0000000006         5.001          71.986           0.482
0000002382      0000000004         5.001          47.990           0.322
0000002385      0000000003         5.001          35.993           0.241
0000002391      0000000006         5.000          72.000           0.482
0000002396      0000000005         5.001          59.988           0.402
0000002404      0000000008         5.001          95.981           0.643
0000002409      0000000005         5.001          59.988           0.402
0000002410      0000000001         5.002          11.995           0.080
0000002415      0000000005         5.001          59.988           0.402
0000002418      0000000003         5.001          35.993           0.241
0000002424      0000000006         5.001          71.986           0.482
0000002426      0000000002         5.001          23.995           0.161
0000002430      0000000004         5.000          48.000           0.322
0000002435      0000000005         5.001          59.988           0.402
0000002441      0000000006         5.001          71.986           0.482
0000002441      0000000000         5.001           0.000           0.000
0000002445      0000000004         5.001          47.990           0.322
0000002448      0000000003         5.000          36.000           0.241
0000002455      0000000007         5.001          83.983           0.563
0000002457      0000000002         5.001          23.995           0.161
0000002461      0000000004         5.001          47.990           0.322
0000002465      0000000004         5.001          47.990           0.322
0000002470      0000000005         5.000          60.000           0.402
0000002476      0000000006         5.001          71.986           0.482
0000002482      0000000006         5.001          71.986           0.482
0000002489      0000000007         5.001          83.983           0.563
0000002492      0000000003         5.001          35.993           0.241
0000002498      0000000006         5.000          72.000           0.482
0000002500      0000000002         5.001          23.995           0.161
0000002503      0000000003         5.001          35.993           0.241
0000002510      0000000007         5.001          83.983           0.563
0000002512      0000000002         5.002          23.990           0.161
0000002520      0000000008         5.001          95.981           0.643
0000002523      0000000003         5.001          35.993           0.241
0000002529      0000000006         5.001          71.986           0.482
0000002533      0000000004         5.001          47.990           0.322
0000002537      0000000004         5.000          48.000           0.322
0000002540      0000000003         5.001          35.993           0.241
0000002544      0000000004         5.001          47.990           0.322
0000002549      0000000005         5.001          59.988           0.402
0000002554      0000000005         5.001          59.988           0.402
0000002562      0000000008         5.000          96.000           0.643
0000002564      0000000002         5.001          23.995           0.161
0000002567      0000000003         5.001          35.993           0.241
0000002571      0000000004         5.001          47.990           0.322
0000002574      0000000003         5.001          35.993           0.241
0000002576      0000000002         5.000          24.000           0.161
0000002583      0000000007         5.017          83.715           0.561
0000002591      0000000008         5.001          95.981           0.643
0000002594      0000000003         5.000          36.000           0.241
0000002596      0000000002         5.001          23.995           0.161
0000002603      0000000007         5.001          83.983           0.563
0000002611      0000000008         5.001          95.981           0.643
0000002620      0000000009         5.001         107.978           0.723
0000002623      0000000003         5.000          36.000           0.241
0000002627      0000000004         5.001          47.990           0.322
0000002630      0000000003         5.001          35.993           0.241
